Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['0.3404', '0.9178', 'NS']"
2.5,"['0.3404', '0.9178', 'NS']"
3.0,"['0.9590', '1.0000', 'NS']"
3.5,"['0.2699', '0.9178', 'NS']"
4.0,"['0.5681', '0.9178', 'NS']"
4.5,"['0.8602', '1.0000', 'NS']"
5.0,"['0.4810', '0.9178', 'NS']"
5.5,"['0.7781', '1.0000', 'NS']"
6.0,"['0.2453', '0.9178', 'NS']"
6.5,"['0.3072', '0.9178', 'NS']"
7.0,"['0.4597', '0.9178', 'NS']"
7.5,"['0.3787', '0.9178', 'NS']"
8.0,"['0.5495', '0.9178', 'NS']"
8.5,"['0.4181', '0.9178', 'NS']"
9.0,"['0.2751', '0.9178', 'NS']"
9.5,"['0.4181', '0.9178', 'NS']"
10.0,"['0.8053', '1.0000', 'NS']"
