Time,CLK_Out_w1
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['0.3841', '0.4745', 'NS']"
2.5,"['0.2902', '0.4328', 'NS']"
3.0,"['0.3091', '0.4328', 'NS']"
3.5,"['0.0905', '0.2113', 'NS']"
4.0,"['0.0905', '0.2113', 'NS']"
4.5,"['0.0337', '0.1012', 'NS']"
5.0,"['0.0337', '0.1012', 'NS']"
5.5,"['0.1661', '0.2907', 'NS']"
6.0,"['0.1660', '0.2907', 'NS']"
6.5,"['0.1316', '0.2763', 'NS']"
7.0,"['0.2549', '0.4117', 'NS']"
7.5,"['0.3401', '0.4464', 'NS']"
8.0,"['0.0337', '0.1012', 'NS']"
8.5,"['0.0312', '0.1012', 'NS']"
9.0,"['0.0089', '0.0623', 'NS']"
9.5,"['0.0081', '0.0623', 'NS']"
10.0,"['0.0003', '0.0067', '**']"
