Time,Glaz_BL31081_w7,Glaz_V106955_w7
0.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
1.0,"['0.2386', '0.8601', 'NS']","['1.0000', '1.0000', 'NS']"
1.5,"['0.5959', '0.9626', 'NS']","['0.6963', '0.9677', 'NS']"
2.0,"['0.5896', '0.9626', 'NS']","['0.2662', '0.8601', 'NS']"
2.5,"['0.3810', '0.9167', 'NS']","['0.0668', '0.6042', 'NS']"
3.0,"['0.3810', '0.9167', 'NS']","['0.0719', '0.6042', 'NS']"
3.5,"['0.5476', '0.9626', 'NS']","['0.0719', '0.6042', 'NS']"
4.0,"['0.5476', '0.9626', 'NS']","['0.1429', '0.8571', 'NS']"
4.5,"['0.5476', '0.9626', 'NS']","['0.0714', '0.6042', 'NS']"
5.0,"['0.5169', '0.9626', 'NS']","['0.2500', '0.8601', 'NS']"
5.5,"['0.7143', '0.9677', 'NS']","['0.0714', '0.6042', 'NS']"
6.0,"['0.3810', '0.9167', 'NS']","['0.1429', '0.8571', 'NS']"
6.5,"['0.2997', '0.8990', 'NS']","['0.2500', '0.8601', 'NS']"
7.0,"['0.7143', '0.9677', 'NS']","['0.3929', '0.9167', 'NS']"
7.5,"['0.2619', '0.8601', 'NS']","['1.0000', '1.0000', 'NS']"
8.0,"['0.1667', '0.8601', 'NS']","['0.7857', '0.9706', 'NS']"
8.5,"['0.5476', '0.9626', 'NS']","['0.7857', '0.9706', 'NS']"
9.0,"['0.7143', '0.9677', 'NS']","['1.0000', '1.0000', 'NS']"
9.5,"['0.7143', '0.9677', 'NS']","['0.7857', '0.9706', 'NS']"
10.0,"['1.0000', '1.0000', 'NS']","['0.5714', '0.9626', 'NS']"
