Time,Glaz_BL31081_w7,Glaz_V106955_w7
0.0,"['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['1.0000', 'NS']","['1.0000', 'NS']"
1.0,"['1.0000', 'NS']","['1.0000', 'NS']"
1.5,"['1.0000', 'NS']","['1.0000', 'NS']"
2.0,"['1.0000', 'NS']","['1.0000', 'NS']"
2.5,"['1.0000', 'NS']","['1.0000', 'NS']"
3.0,"['1.0000', 'NS']","['1.0000', 'NS']"
3.5,"['1.0000', 'NS']","['1.0000', 'NS']"
4.0,"['1.0000', 'NS']","['1.0000', 'NS']"
4.5,"['1.0000', 'NS']","['1.0000', 'NS']"
5.0,"['1.0000', 'NS']","['1.0000', 'NS']"
5.5,"['1.0000', 'NS']","['1.0000', 'NS']"
6.0,"['1.0000', 'NS']","['1.0000', 'NS']"
6.5,"['0.3914', 'NS']","['1.0000', 'NS']"
7.0,"['0.3914', 'NS']","['0.3105', 'NS']"
7.5,"['0.3914', 'NS']","['0.3105', 'NS']"
8.0,"['0.3914', 'NS']","['0.3105', 'NS']"
8.5,"['0.3914', 'NS']","['0.0330', '*']"
9.0,"['0.0754', 'NS']","['0.0330', '*']"
9.5,"['0.0307', '*']","['0.0330', '*']"
10.0,"['0.0754', 'NS']","['0.0330', '*']"
