Time,Glaz_BL31081_w3,Glaz_V106955_w3
0.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']","['0.3613', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']","['0.0484', '0.7273', 'NS']"
2.5,"['0.1463', '1.0000', 'NS']","['0.0840', '0.8825', 'NS']"
3.0,"['0.4632', '1.0000', 'NS']","['0.6451', '1.0000', 'NS']"
3.5,"['0.5211', '1.0000', 'NS']","['0.2468', '1.0000', 'NS']"
4.0,"['0.3358', '1.0000', 'NS']","['0.4286', '1.0000', 'NS']"
4.5,"['0.4848', '1.0000', 'NS']","['0.4286', '1.0000', 'NS']"
5.0,"['0.6991', '1.0000', 'NS']","['0.5368', '1.0000', 'NS']"
5.5,"['0.6991', '1.0000', 'NS']","['0.4286', '1.0000', 'NS']"
6.0,"['0.6991', '1.0000', 'NS']","['0.4286', '1.0000', 'NS']"
6.5,"['0.9372', '1.0000', 'NS']","['0.9307', '1.0000', 'NS']"
7.0,"['0.8182', '1.0000', 'NS']","['0.6623', '1.0000', 'NS']"
7.5,"['0.9372', '1.0000', 'NS']","['0.5368', '1.0000', 'NS']"
8.0,"['0.9372', '1.0000', 'NS']","['0.3290', '1.0000', 'NS']"
8.5,"['1.0000', '1.0000', 'NS']","['0.0519', '0.7273', 'NS']"
9.0,"['0.5887', '1.0000', 'NS']","['0.1775', '1.0000', 'NS']"
9.5,"['0.9372', '1.0000', 'NS']","['0.1255', '1.0000', 'NS']"
10.0,"['0.5887', '1.0000', 'NS']","['0.0303', '0.7273', 'NS']"
