Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']"
2.5,"['0.3633', '0.6936', 'NS']"
3.0,"['1.0000', '1.0000', 'NS']"
3.5,"['0.1968', '0.6936', 'NS']"
4.0,"['0.1861', '0.6936', 'NS']"
4.5,"['0.7427', '1.0000', 'NS']"
5.0,"['0.6457', '0.9685', 'NS']"
5.5,"['0.5994', '0.9682', 'NS']"
6.0,"['0.3579', '0.6936', 'NS']"
6.5,"['0.1310', '0.6936', 'NS']"
7.0,"['0.2934', '0.6936', 'NS']"
7.5,"['0.2643', '0.6936', 'NS']"
8.0,"['0.3246', '0.6936', 'NS']"
8.5,"['0.4701', '0.8227', 'NS']"
9.0,"['0.3246', '0.6936', 'NS']"
9.5,"['0.2372', '0.6936', 'NS']"
10.0,"['0.2242', '0.6936', 'NS']"
